"","Year","April.sst","May.sst","June.sst","July.sst","April.May.sst","May.June.sst","June.July.sst","April.July.sst","May.July.sst","April.anom","May.anom","June.anom","July.anom","April.May.anom","May.June.anom","June.July.anom","April.July.anom","May.July.anom"
"24",2001,3.14148148783931,3.96259265475803,6.09037037248965,8.69629628569992,3.55203707129867,5.02648151362384,7.39333332909478,5.47268520019673,6.24975310431586,1.18153846867786,0.584691416417361,0.146894587410821,-0.00200381691073126,0.88311494254761,0.365793001914091,0.0724453852500444,0.477780163898827,0.243194062305816
"25",2002,2.12703704392468,4.19666665571707,6.76518517953378,9.81518519366229,3.16185184982088,5.48092591762543,8.29018518659804,5.72601851820946,6.92567900963772,0.167094024763233,0.818765417376405,0.821709394454956,1.11688509105164,0.492929721069819,0.82023740591568,0.969297242753299,0.731113481911559,0.919119967627668
"26",2003,3.13851850562625,4.91222222646077,7.10333334958112,9.83222226743345,4.02537036604351,6.00777778802095,8.46777780850728,6.2465740872754,7.28259261449178,1.1785754864648,1.53432098812011,1.15985756450229,1.1339221648228,1.35644823729245,1.3470892763112,1.14688986466255,1.2516690509775,1.27603357248173
"27",2004,2.00962961713473,3.86629629576648,6.78407409456041,10.090740804319,2.9379629564506,5.32518519516344,8.43740744943972,5.68768520294516,6.91370373154864,0.0496865979732779,0.488395057425809,0.840598309481586,1.39244070170838,0.269040827699544,0.664496683453697,1.11651950559498,0.692780166647264,0.907144689538592
"28",2005,2.48370369958381,3.96925929740623,6.47111110334043,9.98962960419832,3.22648149849502,5.22018520037333,8.23037035376937,5.7284259261322,6.81000000164833,0.523760680422356,0.591358059065563,0.527635318261606,1.29132950158767,0.55755936974396,0.559496688663585,0.909482409924637,0.733520889834298,0.803440959638279
"29",2006,1.4300000021855,2.91296297974057,6.128888880765,9.02407413058811,2.17148149096304,4.52092593025278,7.57648150567655,4.87398149831979,6.02197533036456,-0.529943016975948,-0.464938258600102,0.185413095686171,0.325774027977461,-0.497440637788025,-0.139762581456965,0.255593561831816,-0.120923537978104,0.0154162883545101
"30",2007,1.07037036852152,2.40740741403015,5.2107407340297,8.79259270208853,1.73888889127583,3.80907407402992,7.00166671805912,4.37027780466747,5.47024695004946,-0.889572650639929,-0.970493824310523,-0.732735051049126,0.0942925994778854,-0.930033237475226,-0.851614437679824,-0.31922122578562,-0.624627231630424,-0.536312091960588
"31",2008,1.07037036852152,2.40740741403015,5.2107407340297,8.79259270208853,1.73888889127583,3.80907407402992,7.00166671805912,4.37027780466747,5.47024695004946,-0.889572650639929,-0.970493824310523,-0.732735051049126,0.0942925994778854,-0.930033237475226,-0.851614437679824,-0.31922122578562,-0.624627231630424,-0.536312091960588
"32",2009,1.13185186132237,2.52074074496826,5.11518515480889,8.19703704339487,1.82629630314531,3.81796294988857,6.65611109910188,4.2412037011236,5.27765431439067,-0.828091157839084,-0.857160493372413,-0.828290630269933,-0.501263059215781,-0.842625825605749,-0.842725561821173,-0.664776844742858,-0.753701335174303,-0.728904727619376
"33",2010,0.744814825209755,2.8799999875051,5.5866666369968,8.48037030961778,1.81240740635743,4.23333331225095,7.03351847330729,4.42296293983236,5.64901231137323,-1.2151281939517,-0.497901250835568,-0.356809148082026,-0.217929792992862,-0.856514722393633,-0.427355199458797,-0.287369470537445,-0.571942096465539,-0.35754673063682
"34",2011,1.09148147095133,2.6496296370471,4.91444444656372,8.28407405923914,1.87055555399921,3.78203704180541,6.59925925290143,4.23490740345032,5.28271604761665,-0.868461548210124,-0.728271601293572,-1.0290313385151,-0.414226043371507,-0.798366574751848,-0.878651469904338,-0.721628690943306,-0.759997632847577,-0.723842994393395
"35",2012,1.09148147095133,2.6496296370471,4.91444444656372,8.28407405923914,1.87055555399921,3.78203704180541,6.59925925290143,4.23490740345032,5.28271604761665,-0.868461548210124,-0.728271601293572,-1.0290313385151,-0.414226043371507,-0.798366574751848,-0.878651469904338,-0.721628690943306,-0.759997632847577,-0.723842994393395
"36",2013,1.92296295585456,3.64333335117057,5.75814814037747,7.69370372207076,2.78314815351257,4.70074074577402,6.72592593122412,4.75453704236834,5.69839507120627,-0.0369800633068949,0.265432112829906,-0.185327644701357,-1.00459638053988,0.114226024761506,0.0400522340642748,-0.59496201262062,-0.240367993929556,-0.308163970803777
"37",2014,0.824444440503915,2.28814815591883,5.48851853829843,7.88370369098805,1.55629629821137,3.88833334710863,6.68611111464324,4.1212037064273,5.2201234617351,-1.13549857865754,-1.08975308242184,-0.454957246780396,-0.814596411622601,-1.11262583053969,-0.772355164601118,-0.634776829201498,-0.873701329870594,-0.786435580274945
"38",2015,1.7059259214611,2.86814815502752,6.16555558310615,8.78148144262808,2.28703703824431,4.51685186906683,7.47351851286712,4.88027777555571,5.93839506025392,-0.254017097700356,-0.509753083313151,0.222079798027321,0.0831813400174362,-0.381885090506753,-0.143836642642914,0.152630569022379,-0.114627260742187,-0.0681639817561308
"39",2016,2.44703706215929,4.10740740210922,6.72888888253106,10.105185120194,3.27722223213425,5.41814814232014,8.41703700136255,5.8471296167484,6.98049380161144,0.487094042997839,0.729506163768548,0.785413097452235,1.4068850175834,0.608300103383193,0.757459630610391,1.09614905751782,0.852224580450505,0.973934759601394
