"","Year","EBS_SC0","E166_SC0","W166_SC0","EBS_SC1","E166_SC1","W166_SC1","EBS_SC2","E166_SC2","W166_SC2","EBS_SC3","E166_SC3","W166_SC3","EBS_SC4","E166_SC4","W166_SC4","EBS_SC5","E166_SC5","W166_SC5","EBS_SC_TOTAL","E166_SC_TOTAL","W166_SC_TOTAL","EBS_ovig","E166_ovig","W166_ovig","EBS_os","E166_os","W166_os"
"30",2004,0,0,0,770291.076301561,52052.9965793036,718238.079722257,9745845.99199624,2073732.94805604,7672113.0439402,17027933.5010339,1669617.89925002,15358315.6017839,3784351.62917237,576779.312513368,3207572.316659,24945.5043136324,0,24945.5043136324,31353367.7028177,4372183.15639874,26981184.5464189,31353367.7028177,4372183.15639874,26981184.5464189,20812285.1302063,2246397.21176339,18565887.9184429
"31",2005,0,0,0,3969157.1399787,317265.573781969,3651891.56619673,24115342.806139,2876795.91206236,21238546.8940767,37904443.1308957,10133354.7299566,27771088.4009391,8551986.37458144,2166971.96740625,6385014.4071752,280042.692194934,0,280042.692194934,74820972.1437898,15494388.1832071,59326583.9605826,74820972.1437898,15494388.1832071,59326583.9605826,46456429.5054771,12300326.6973628,34156102.8081143
"32",2006,26164.6728412967,0,26164.6728412967,3867060.58410086,966810.492957871,2900250.09114299,37588512.2492875,8214807.921181,29373704.3281065,27884523.0254344,3902622.50544487,23981900.5199896,19940800.6638262,5128384.4935788,14812416.1702474,4310067.7175756,2330423.8743954,1979643.8431802,93617128.9130659,20543049.287558,73074079.6255079,93617128.9130659,20543049.287558,73074079.625508,47825323.6892607,9031006.99902368,38794316.690237
"33",2007,0,0,0,4124224.9503676,239634.615076472,3884590.33529113,35892031.2664612,14001984.6362886,21890046.6301726,29170669.6494502,9596731.46358266,19573938.1858676,8922860.0803369,4857287.05769304,4065573.02264386,235202.183609644,163408.868883608,71793.314726036,78344988.1302256,28859046.6415244,49485941.4887012,78344988.1302256,28859046.6415244,49485941.4887012,38093529.7297871,14454018.5212757,23639511.2085114
"34",2008,0,0,0,1121940.76078167,145558.970975705,976381.789805961,17861624.4194501,3935542.02630708,13926082.3931431,33680144.8649657,12770324.3417737,20909820.523192,16260355.3099594,6200773.42539438,10059581.884565,166037.883763183,29794.7062110447,136243.177552138,69090103.2389201,23081993.4706619,46008109.7682581,69090103.2389201,23081993.4706619,46008109.7682581,49940500.1749251,18971097.7671681,30969402.407757
"35",2009,0,0,0,793068.055610366,52497.2898872123,740570.765723153,8241238.07648537,2824105.70826025,5417132.36822512,28593362.2127691,13066312.6322591,15527049.58051,7666590.03607967,3062713.39108958,4603876.64499009,1055331.20956689,954481.46339585,100849.746171043,46349589.5905114,19960110.484892,26389479.1056194,46349589.5905114,19960110.484892,26389479.1056194,36259952.2488488,16129026.0233487,20130926.2255001
"36",2010,0,0,0,204727.888207672,0,204727.888207672,5780380.92020675,1414360.19401976,4366020.72618699,11030383.7953694,2092908.65851162,8937475.13685781,12780623.2516793,6060194.35455273,6720428.89712654,144836.876045266,24899.7973770391,119937.078668226,29940952.7315084,9592363.00446114,20348589.7270472,29940952.7315084,9592363.00446114,20348589.7270472,23811007.0470487,8153103.01306435,15657904.0339843
"37",2011,0,0,0,1574109.2110102,621907.996045733,952201.214964464,9477586.98378442,3866078.11755193,5611508.86623249,9958432.08078705,2354285.43560416,7604146.64518289,6176445.86444901,2830469.36021762,3345976.50423139,732992.162025538,435611.275341292,297380.886684247,27919566.3020562,10108352.1847607,17811214.1172955,27919566.3020562,10108352.1847607,17811214.1172955,16134877.9452361,5184754.79582178,10950123.1494143
"38",2012,0,0,0,1552160.78162369,1100142.55590573,452018.225717963,51768080.0351022,38945572.9486936,12822507.0864086,12623646.3892551,6495047.58218581,6128598.80706929,5306478.88095528,3239470.87845277,2067008.00250251,637028.057325893,165215.984001347,471812.073324547,71887394.1442622,49945449.9492392,21941944.1950229,71887394.1442622,49945449.9492392,21941944.1950229,17930125.2702104,9734518.46063858,8195606.8095718
"39",2013,0,0,0,475611.236404385,88578.471707902,387032.764696483,71487962.8933137,43468738.5783276,28019224.3149862,25269089.2067544,13549673.2503018,11719415.9564526,6330684.7233022,2081977.42754495,4248707.29575724,356147.156462446,0,356147.156462446,103919495.216237,59188967.7278822,44730527.488355,103919495.216237,59188967.7278822,44730527.488355,31599773.9300566,15631650.6778468,15968123.2522099
"40",2014,0,0,0,728832.706004412,226933.968596848,501898.737407564,11915852.2362108,2726741.60696902,9189110.62924174,50363075.7156007,24383670.0991688,25979405.6164319,22709709.2844186,16118694.545186,6591014.7392326,29805.6714580362,0,29805.6714580362,85747275.6136925,43456040.2199207,42291235.3937719,85747275.6136925,43456040.2199207,42291235.3937719,73072785.0000193,40502364.6443548,32570420.3556645
"41",2015,0,0,0,617671.539770459,257087.263364813,360584.276405646,13524066.6295522,1807142.54335604,11716924.0861962,28752664.4286084,11925789.4395002,16826874.9891081,27573042.8217444,12886213.5815012,14686829.2402431,0,0,0,70467445.4196754,26876232.8277223,43591212.5919531,70467445.4196754,26876232.8277223,43591212.5919531,56325707.2503527,24812003.0210015,31513704.2293513
"42",2016,0,0,0,393606.50296942,29045.8931559449,364560.609813476,9583159.43482178,997556.381078278,8585603.0537435,13707051.7487829,4597159.88772033,9109891.86106256,24100710.9094698,1915640.68611765,22185070.2233521,122708.287915116,0,122708.287915116,47907236.883959,7539402.84807221,40367834.0358867,47907236.883959,7539402.84807221,40367834.0358867,37807762.6582526,6512800.57383799,31294962.0844147
"43",2017,0,0,0,194759.534995983,56388.5883090995,138370.946686884,7708253.47054944,1017876.11311263,6690377.35743681,22243348.9033313,3560286.30652668,18683062.5968046,11033064.8347309,3932048.38569908,7101016.44903183,51566.5731179424,51566.5731179424,0,41230993.3167256,8618165.96676543,32612827.3499601,41230993.3167256,8618165.96676543,32612827.3499601,33276413.7380622,7492334.69222576,25784079.0458364
"44",2018,0,0,0,967490.776881596,29215.4403962602,938275.336485336,12558024.038017,232491.416661559,12325532.6213554,13329058.0603953,1319974.07166217,12009083.9887331,3428559.95811649,1199673.21542668,2228886.74268981,0,0,0,30283132.8334104,2781354.14414666,27501778.6892637,30283132.8334104,2781354.14414666,27501778.6892637,16757618.0185118,2519647.28708884,14237970.731423
"45",2019,0,0,0,833403.468839315,114770.826383214,718632.642456101,19516768.8607123,1966520.9092522,17550247.9514601,10040297.1997918,1409517.96698735,8630779.2328044,2951722.24854682,87652.9925848063,2864069.25596201,0,0,0,33342191.7778902,3578462.69520758,29763729.0826826,33342191.7778902,3578462.69520758,29763729.0826826,12992019.4483386,1497170.95957216,11494848.4887664
"46",2021,0,0,0,3136074.26005197,1688382.58976963,1447691.67028234,27170657.26787,6865886.00844047,20304771.2594295,17814473.0080718,5090425.72206554,12724047.2860063,2704284.84139003,606554.946953091,2097729.89443694,154261.751435277,87342.4760587277,66919.275376549,50979751.1288191,14338591.7432875,36641159.3855316,50979751.1288191,14338591.7432875,36641159.3855316,20518757.8494618,5696980.66901863,14821777.1804432
"47",2022,0,0,0,969858.813897585,217863.712595593,751995.101301992,9810786.14024462,2989624.70045178,6821161.43979284,26171172.0663282,4405535.43931107,21765636.6270171,4144017.48177834,1673242.93129375,2470774.5504846,0,0,0,41095834.5022488,9286266.78365219,31809567.7185966,41095834.5022488,9286266.78365219,31809567.7185966,30315189.5481066,6078778.37060481,24236411.1775017
"48",2023,28382.4511690295,0,28382.4511690295,1176813.88305652,0,1176813.88305652,16704116.0200589,616126.33443592,16087989.685623,18660902.4016104,3051906.54644636,15608995.855164,8294999.49910418,4646374.43801983,3648625.06108435,27742.84691141,27742.84691141,0,44892957.1019104,8342150.16581351,36550806.9360969,44892957.1019104,8342150.16581351,36550806.9360969,26955901.9007145,7698280.98446618,19257620.9162483
