"","lag","log(R/S)","x1","fit","se.fit"
"191","Lag 3",1.50571250692501,24233064.5335102,1.45850120398832,0.21718706290515
"201","Lag 3",2.13535599534041,10340943.0259429,1.86773979322617,0.248676905102582
"211","Lag 3",3.55816479420201,7073452.91491944,1.96413732773219,0.257822255425281
"221","Lag 3",2.63411593479984,11355299.4838168,1.83781670246923,0.245954310218688
"231","Lag 3",2.157169248498,14240433.1672069,1.7527215978555,0.238537339492766
"241","Lag 3",2.50676657491269,16336903.6129355,1.69091092489736,0.233471837569439
"251","Lag 3",2.69342950524472,13930597.5410474,1.76185852056259,0.23930973530471
"261","Lag 3",0.956503567978951,31857574.7007964,1.23525837396168,0.206330666727554
"271","Lag 3",1.44814150055588,20812285.1302063,1.55908378496039,0.22366542476354
"281","Lag 3",-0.160905657641942,46456429.5054771,0.814064223082748,0.200897991629335
"291","Lag 3",0.463584974081723,47825323.6892607,0.77515343803558,0.201431091623983
"301","Lag 3",1.20515504707544,38093529.7297871,1.05410955450896,0.201481098914499
"311","Lag 3",1.45143044896517,49940500.1749251,0.715266212440639,0.202584387406927
"321","Lag 3",0.930389385597679,36259952.2488488,1.10720821925169,0.202515769501265
"331","Lag 3",1.07899219612985,23811007.0470487,1.47090007854568,0.21793554592688
"341","Lag 3",1.86166848153126,16134877.9452361,1.69686611926362,0.233947485192608
"351","Lag 3",0.806236547229185,17930125.2702104,1.64395788549721,0.229817716950422
"361","Lag 3",0.368512185219812,31599773.9300566,1.24277900146303,0.206611450276093
"371","Lag 3",0.240628679021459,73072785.0000193,0.0828581596895552,0.235847927625598
"381","Lag 3",1.50349178893473,56325707.2503527,0.53636521704433,0.208327935349319
"391","Lag 3",1.61710571613975,37807762.6582526,1.06237521333059,0.201620742610171
"112","Lag 4",-1.25166139504373,79059524.6040307,-0.0324879241892705,0.241557898974237
"212","Lag 4",1.71925482810789,23347775.9865334,1.49039880708849,0.215209207877281
"312","Lag 4",0.487176632548069,58266263.1919942,0.506991381479188,0.205789255088937
"42","Lag 4",-0.874757146514455,55226850.5341779,0.589371126809583,0.2024839860767
"52","Lag 4",-2.03731321723841,404970393.195223,-1.7507595998804,0.606963930812649
"62","Lag 4",-0.0987158045644719,113737935.254468,-0.818735601912728,0.318846571757863
"72","Lag 4",0.688276544670734,72520697.3261809,0.132279409047457,0.228427023362841
"82","Lag 4",2.55953068640586,20473912.7348603,1.57365780755717,0.220690421915656
"92","Lag 4",2.9698326542389,6372145.96691798,1.98332505606425,0.255318202636405
"102","Lag 4",2.3114243329785,9941374.63094721,1.87956515450243,0.245498802149705
"113","Lag 4",1.19572334477623,15848997.5574098,1.70788822718242,0.230737086075625
"122","Lag 4",-0.49093696497438,43520299.2062181,0.913533532584679,0.196540060609127
